 Timestamp,,,healthy value,, attacked Value
 30/6/2015 1:53:00 PM,,,8.104845,,7.559472
 30/6/2015 1:53:01 PM,,,8.104845,,7.559472
 30/6/2015 1:53:02 PM,,,8.104845,,7.559472
 30/6/2015 1:53:03 PM,,,8.104845,,7.559472
 30/6/2015 1:53:04 PM,,,8.104845,,7.559472
 30/6/2015 1:53:05 PM,,,8.109011,,7.559472
 30/6/2015 1:53:06 PM,,,8.109011,,7.559472
 30/6/2015 1:53:07 PM,,,8.109011,,7.559472
 30/6/2015 1:53:08 PM,,,8.109011,,7.559472
 30/6/2015 1:53:09 PM,,,8.112856,,7.559472
 30/6/2015 1:53:10 PM,,,8.113497,,7.559152
 30/6/2015 1:53:11 PM,,,8.113497,,7.559152
 30/6/2015 1:53:12 PM,,,8.115099,,7.559152
 30/6/2015 1:53:13 PM,,,8.117022,,7.559152
 30/6/2015 1:53:14 PM,,,8.118624,,7.559152
 30/6/2015 1:53:15 PM,,,8.118624,,7.559152
 30/6/2015 1:53:16 PM,,,8.118624,,7.559152
 30/6/2015 1:53:17 PM,,,8.120867,,7.559152
 30/6/2015 1:53:18 PM,,,8.120867,,7.559152
 30/6/2015 1:53:19 PM,,,8.121508,,7.555306
 30/6/2015 1:53:20 PM,,,8.121508,,7.555306
 30/6/2015 1:53:21 PM,,,8.121508,,7.554666
 30/6/2015 1:53:22 PM,,,8.121508,,7.554666
 30/6/2015 1:53:23 PM,,,8.121508,,7.554666
 30/6/2015 1:53:24 PM,,,8.119905,,7.554666
 30/6/2015 1:53:25 PM,,,8.119905,,7.551461
 30/6/2015 1:53:26 PM,,,8.119905,,7.551461
 30/6/2015 1:53:27 PM,,,8.119905,,7.551141
 30/6/2015 1:53:28 PM,,,8.119905,,7.551141
 30/6/2015 1:53:29 PM,,,8.119905,,7.551141
 30/6/2015 1:53:30 PM,,,8.119905,,7.551141
 30/6/2015 1:53:31 PM,,,8.119905,,7.551141
 30/6/2015 1:53:32 PM,,,8.121828,,7.551141
 30/6/2015 1:53:33 PM,,,8.121828,,7.554666
 30/6/2015 1:53:34 PM,,,8.12311,,7.554666
 30/6/2015 1:53:35 PM,,,8.12311,,7.554666
 30/6/2015 1:53:36 PM,,,8.125032,,7.554666
 30/6/2015 1:53:37 PM,,,8.125032,,7.554666
 30/6/2015 1:53:38 PM,,,8.127275,,7.554666
 30/6/2015 1:53:39 PM,,,8.129839,,7.554666
 30/6/2015 1:53:40 PM,,,8.129839,,7.554666
 30/6/2015 1:53:41 PM,,,8.129839,,7.554666
 30/6/2015 1:53:42 PM,,,8.129839,,7.554666
 30/6/2015 1:53:43 PM,,,8.129839,,7.554666
 30/6/2015 1:53:44 PM,,,8.129839,,7.555306
 30/6/2015 1:53:45 PM,,,8.132723,,7.555306
 30/6/2015 1:53:46 PM,,,8.132723,,7.555306
 30/6/2015 1:53:47 PM,,,8.132723,,7.555306
 30/6/2015 1:53:48 PM,,,8.132723,,7.554666
 30/6/2015 1:53:49 PM,,,8.132723,,7.550179
 30/6/2015 1:53:50 PM,,,8.132723,,7.550179
 30/6/2015 1:53:51 PM,,,8.136248,,7.548577
 30/6/2015 1:53:52 PM,,,8.136248,,7.543771
 30/6/2015 1:53:53 PM,,,8.136248,,7.538324
 30/6/2015 1:53:54 PM,,,8.136248,,7.532556
