 Timestamp,,,,healthy value,,,attacked  Value
 30/6/2015 1:53:00 PM,,,,116.797,,,86.45219
 30/6/2015 1:53:01 PM,,,,116.797,,,86.45219
 30/6/2015 1:53:02 PM,,,,116.9892,,,86.45219
 30/6/2015 1:53:03 PM,,,,117.0854,,,86.45219
 30/6/2015 1:53:04 PM,,,,117.0854,,,86.45219
 30/6/2015 1:53:05 PM,,,,117.0854,,,86.45219
 30/6/2015 1:53:06 PM,,,,117.0854,,,86.45219
 30/6/2015 1:53:07 PM,,,,116.7329,,,86.45219
 30/6/2015 1:53:08 PM,,,,116.7329,,,86.45219
 30/6/2015 1:53:09 PM,,,,116.7329,,,86.45219
 30/6/2015 1:53:10 PM,,,,116.7329,,,86.45219
 30/6/2015 1:53:11 PM,,,,116.7329,,,86.45219
 30/6/2015 1:53:12 PM,,,,116.7329,,,86.45219
 30/6/2015 1:53:13 PM,,,,116.6368,,,86.45219
 30/6/2015 1:53:14 PM,,,,116.6368,,,86.45219
 30/6/2015 1:53:15 PM,,,,116.6368,,,86.45219
 30/6/2015 1:53:16 PM,,,,116.8931,,,86.45219
 30/6/2015 1:53:17 PM,,,,116.9572,,,86.45219
 30/6/2015 1:53:18 PM,,,,117.2776,,,86.45219
 30/6/2015 1:53:19 PM,,,,117.2776,,,86.45219
 30/6/2015 1:53:20 PM,,,,117.4058,,,86.45219
 30/6/2015 1:53:21 PM,,,,117.7262,,,86.45219
 30/6/2015 1:53:22 PM,,,,117.7262,,,86.45219
 30/6/2015 1:53:23 PM,,,,117.7262,,,86.45219
 30/6/2015 1:53:24 PM,,,,117.7262,,,86.45219
 30/6/2015 1:53:25 PM,,,,117.7262,,,86.45219
 30/6/2015 1:53:26 PM,,,,117.9185,,,86.45219
 30/6/2015 1:53:27 PM,,,,118.0146,,,86.45219
 30/6/2015 1:53:28 PM,,,,118.0146,,,86.45219
 30/6/2015 1:53:29 PM,,,,118.0146,,,86.45219
 30/6/2015 1:53:30 PM,,,,117.534,,,86.45219
 30/6/2015 1:53:31 PM,,,,117.534,,,86.45219
 30/6/2015 1:53:32 PM,,,,117.6942,,,86.45219
 30/6/2015 1:53:33 PM,,,,118.0146,,,86.45219
 30/6/2015 1:53:34 PM,,,,118.0146,,,86.45219
 30/6/2015 1:53:35 PM,,,,118.0146,,,86.45219
 30/6/2015 1:53:36 PM,,,,117.8544,,,86.45219
 30/6/2015 1:53:37 PM,,,,117.566,,,86.45219
 30/6/2015 1:53:38 PM,,,,117.4699,,,86.45219
 30/6/2015 1:53:39 PM,,,,117.4699,,,86.45219
 30/6/2015 1:53:40 PM,,,,117.6301,,,86.45219
 30/6/2015 1:53:41 PM,,,,117.7583,,,86.45219
 30/6/2015 1:53:42 PM,,,,117.7583,,,86.45219
 30/6/2015 1:53:43 PM,,,,117.7583,,,86.45219
 30/6/2015 1:53:44 PM,,,,117.7583,,,86.45219
 30/6/2015 1:53:45 PM,,,,117.7583,,,86.90079
 30/6/2015 1:53:46 PM,,,,117.7583,,,86.90079
 30/6/2015 1:53:47 PM,,,,117.9505,,,87.15714
 30/6/2015 1:53:48 PM,,,,118.1107,,,87.15714
 30/6/2015 1:53:49 PM,,,,118.335,,,87.15714
 30/6/2015 1:53:50 PM,,,,118.4953,,,87.15714
 30/6/2015 1:53:51 PM,,,,118.4953,,,87.15714
 30/6/2015 1:53:52 PM,,,,118.4953,,,87.15714
 30/6/2015 1:53:53 PM,,,,118.4953,,,87.15714
 30/6/2015 1:53:54 PM,,,,118.4953,,,87.15714
 30/6/2015 1:53:55 PM,,,,118.4953,,,87.15714
 30/6/2015 1:53:56 PM,,,,118.4953,,,86.6124
 30/6/2015 1:53:57 PM,,,,118.4953,,,86.6124
 30/6/2015 1:53:58 PM,,,,118.7516,,,86.6124
 30/6/2015 1:53:59 PM,,,,118.7516,,,86.74058
 30/6/2015 1:54:00 PM,,,,118.7516,,,86.74058
 30/6/2015 1:54:01 PM,,,,118.5273,,,86.74058
 30/6/2015 1:54:02 PM,,,,118.5273,,,86.74058
 30/6/2015 1:54:03 PM,,,,118.5273,,,86.77262
 30/6/2015 1:54:04 PM,,,,118.5273,,,86.77262
 30/6/2015 1:54:05 PM,,,,118.5273,,,86.77262
 30/6/2015 1:54:06 PM,,,,118.8157,,,86.77262
 30/6/2015 1:54:07 PM,,,,118.8157,,,86.77262
 30/6/2015 1:54:08 PM,,,,118.8157,,,86.77262
 30/6/2015 1:54:09 PM,,,,118.8157,,,86.67649
 30/6/2015 1:54:10 PM,,,,118.8157,,,86.67649
 30/6/2015 1:54:11 PM,,,,118.8157,,,86.67649
 30/6/2015 1:54:12 PM,,,,118.8157,,,86.67649
 30/6/2015 1:54:13 PM,,,,118.8157,,,86.67649
 30/6/2015 1:54:14 PM,,,,119.2963,,,86.67649
 30/6/2015 1:54:15 PM,,,,119.2963,,,86.67649
 30/6/2015 1:54:16 PM,,,,119.2963,,,86.67649
 30/6/2015 1:54:17 PM,,,,119.4886,,,86.67649
 30/6/2015 1:54:18 PM,,,,119.4886,,,86.67649
 30/6/2015 1:54:19 PM,,,,119.4886,,,86.67649
 30/6/2015 1:54:20 PM,,,,119.4886,,,86.67649
 30/6/2015 1:54:21 PM,,,,119.6809,,,86.67649
 30/6/2015 1:54:22 PM,,,,119.6809,,,86.67649
 30/6/2015 1:54:23 PM,,,,119.7129,,,86.67649
 30/6/2015 1:54:24 PM,,,,119.7129,,,86.67649
 30/6/2015 1:54:25 PM,,,,119.7129,,,86.67649
 30/6/2015 1:54:26 PM,,,,119.7129,,,86.67649
 30/6/2015 1:54:27 PM,,,,119.7129,,,86.67649
 30/6/2015 1:54:28 PM,,,,119.809,,,86.67649
 30/6/2015 1:54:29 PM,,,,119.9372,,,86.67649
 30/6/2015 1:54:30 PM,,,,120.1615,,,86.67649
 30/6/2015 1:54:31 PM,,,,120.1615,,,86.67649
 30/6/2015 1:54:32 PM,,,,120.1615,,,86.67649
 30/6/2015 1:54:33 PM,,,,120.4499,,,86.67649
 30/6/2015 1:54:34 PM,,,,120.514,,,86.67649
 30/6/2015 1:54:35 PM,,,,120.514,,,86.51628
 30/6/2015 1:54:36 PM,,,,120.9626,,,86.51628
 30/6/2015 1:54:37 PM,,,,120.9626,,,86.51628
