action step s
- 0 1
rmc10_3 1 1
rmc10_3 2 1
rmc10_3 3 1
rmc10_3 4 2
rmc10_3 5 3
rmc10_3 6 5
rmc10_3 7 4
rmc10_3 8 4
rmc10_3 9 8
rmc10_3 10 1
rmc10_3 11 1
rmc10_3 12 1
rmc10_3 13 1
rmc10_3 14 2
rmc10_3 15 8
rmc10_3 16 1
rmc10_3 17 1
rmc10_3 18 1
rmc10_3 19 2
rmc10_3 20 8
rmc10_3 21 5
rmc10_3 22 4
rmc10_3 23 5
rmc10_3 24 1
rmc10_3 25 1
rmc10_3 26 1
rmc10_3 27 1
rmc10_3 28 1
rmc10_3 29 2
rmc10_3 30 8
rmc10_3 31 1
rmc10_3 32 1
rmc10_3 33 1
rmc10_3 34 1
rmc10_3 35 1
rmc10_3 36 2
rmc10_3 37 3
rmc10_3 38 4
rmc10_3 39 4
rmc10_3 40 5
rmc10_3 41 4
rmc10_3 42 5
rmc10_3 43 4
rmc10_3 44 6
rmc10_3 45 2
rmc10_3 46 8
rmc10_3 47 9
rmc10_3 48 6
rmc10_3 49 2
rmc10_3 50 2
rmc10_3 51 3
rmc10_3 52 10
rmc10_3 53 2
rmc10_3 54 8
rmc10_3 55 1
rmc10_3 56 2
rmc10_3 57 7
rmc10_3 58 8
rmc10_3 59 1
rmc10_3 60 4
rmc10_3 61 8
rmc10_3 62 7
rmc10_3 63 8
rmc10_3 64 1
rmc10_3 65 1
rmc10_3 66 2
rmc10_3 67 3
rmc10_3 68 5
rmc10_3 69 4
rmc10_3 70 4
rmc10_3 71 4
rmc10_3 72 4
rmc10_3 73 4
rmc10_3 74 5
rmc10_3 75 1
rmc10_3 76 1
rmc10_3 77 2
rmc10_3 78 2
rmc10_3 79 8
rmc10_3 80 1
rmc10_3 81 1
rmc10_3 82 1
rmc10_3 83 2
rmc10_3 84 3
rmc10_3 85 5
rmc10_3 86 1
rmc10_3 87 1
rmc10_3 88 2
rmc10_3 89 8
rmc10_3 90 4
rmc10_3 91 5
rmc10_3 92 1
rmc10_3 93 1
rmc10_3 94 1
rmc10_3 95 2
rmc10_3 96 8
rmc10_3 97 4
rmc10_3 98 6
rmc10_3 99 2
rmc10_3 100 7
rmc10_3 101 3
rmc10_3 102 4
rmc10_3 103 4
