action step s
- 0 1
rmc10_3 1 1
rmc10_3 2 1
rmc10_3 3 2
rmc10_3 4 3
rmc10_3 5 4
rmc10_3 6 5
rmc10_3 7 1
rmc10_3 8 2
rmc10_3 9 2
rmc10_3 10 8
rmc10_3 11 1
rmc10_3 12 1
rmc10_3 13 2
rmc10_3 14 4
rmc10_3 15 5
rmc10_3 16 4
rmc10_3 17 5
rmc10_3 18 4
rmc10_3 19 8
rmc10_3 20 5
rmc10_3 21 1
rmc10_3 22 2
rmc10_3 23 8
rmc10_3 24 8
rmc10_3 25 8
rmc10_3 26 1
rmc10_3 27 4
rmc10_3 28 4
rmc10_3 29 5
rmc10_3 30 4
rmc10_3 31 5
rmc10_3 32 4
rmc10_3 33 6
rmc10_3 34 2
rmc10_3 35 8
rmc10_3 36 1
rmc10_3 37 2
rmc10_3 38 2
rmc10_3 39 4
rmc10_3 40 5
rmc10_3 41 1
rmc10_3 42 1
rmc10_3 43 2
rmc10_3 44 3
rmc10_3 45 5
rmc10_3 46 6
rmc10_3 47 2
rmc10_3 48 4
rmc10_3 49 5
rmc10_3 50 1
rmc10_3 51 7
rmc10_3 52 3
rmc10_3 53 5
rmc10_3 54 4
rmc10_3 55 4
rmc10_3 56 5
rmc10_3 57 4
rmc10_3 58 5
rmc10_3 59 4
rmc10_3 60 5
rmc10_3 61 1
rmc10_3 62 2
rmc10_3 63 8
rmc10_3 64 4
rmc10_3 65 5
rmc10_3 66 4
rmc10_3 67 5
rmc10_3 68 4
rmc10_3 69 4
rmc10_3 70 4
rmc10_3 71 6
rmc10_3 72 2
rmc10_3 73 8
rmc10_3 74 1
rmc10_3 75 2
rmc10_3 76 3
rmc10_3 77 5
rmc10_3 78 1
rmc10_3 79 1
rmc10_3 80 1
rmc10_3 81 1
rmc10_3 82 1
rmc10_3 83 2
rmc10_3 84 8
rmc10_3 85 1
rmc10_3 86 2
rmc10_3 87 8
rmc10_3 88 4
rmc10_3 89 5
rmc10_3 90 1
rmc10_3 91 2
rmc10_3 92 3
rmc10_3 93 5
rmc10_3 94 4
rmc10_3 95 6
rmc10_3 96 2
rmc10_3 97 8
rmc10_3 98 1
rmc10_3 99 2
rmc10_3 100 8
rmc10_3 101 1
rmc10_3 102 1
rmc10_3 103 2
