LIT101 LIT301 LIT401 LS601 LS602
849.553001035 242.878472528 632.753497584 285.792185406 733.421054953
836.745593628 245.050694751 639.220180094 296.162555777 734.45809199
823.023371405 244.943287343 648.238715587 307.273666888 735.569203102
809.301149183 245.267361417 656.88688071 318.384777999 736.680314213
795.578926961 245.15995401 665.905416204 329.49588911 737.791425324
781.856704739 245.052546602 674.923951697 340.607000221 738.902536435
768.134482517 244.945139195 683.94248719 351.718111332 740.013647546
754.412260294 256.056250306 683.331393054 362.829222443 731.865499398
740.690038072 267.167361417 682.720298918 373.940333554 730.384017916
726.96781585 270.511805862 688.775871448 385.051444665 731.495129028
713.245593628 268.678472528 699.275888423 396.162555777 732.606240139
699.523371405 266.845139195 709.775905398 407.273666888 733.71735125
685.801149183 265.011805862 720.275922373 418.384777999 734.828462361
672.078926961 263.178472528 730.775939347 429.49588911 735.939573472
658.356704739 261.345139195 741.275956322 440.607000221 737.050684583
644.634482517 272.024768825 741.035232556 451.718111332 729.272906805
630.912260294 283.135879936 740.42413842 462.829222443 727.421054953
617.190038072 286.911805862 746.10934058 473.940333554 728.532166065
603.46781585 285.078472528 756.609357555 485.051444665 729.643277176
589.745593628 283.245139195 767.10937453 496.162555777 730.754388287
576.023371405 281.411805862 777.609391505 507.273666888 731.865499398
562.301149183 279.578472528 788.119593382 518.199592814 732.976610509
548.578926961 277.745139195 798.619610357 529.310703925 734.08772162
534.856704739 288.424768825 798.378886591 540.421815036 726.309943842
521.134482517 299.535879936 797.767792454 551.532926147 724.45809199
507.412260294 303.311805862 803.452994614 562.644037258 725.569203102
493.690038072 301.478472528 813.953011589 573.755148369 726.680314213
479.96781585 299.645139195 824.453028564 584.86625948 727.791425324
466.245593628 297.811805862 834.953045539 595.977370591 728.902536435
452.523371405 295.978472528 845.453062514 607.088481702 730.013647546
