LIT101 LIT301 LIT401 LS601 LS602
538.443740094 634.131041096 564.794450018 927.948330075 723.608185814
538.443740094 622.265300355 574.409280676 938.318700445 724.645222851
538.443740094 609.320855911 584.90929765 949.429811556 725.756333962
538.443740094 596.376411466 595.409314625 960.540922667 726.867445073
538.443740094 583.431967022 605.9093316 971.652033778 727.978556184
538.443740094 570.487522578 616.409348575 982.76314489 729.089667295
538.443740094 557.543078133 626.90936555 993.874256001 730.200778406
538.443740094 557.111596652 626.668641784 1004.98536711 722.423000628
538.443740094 557.111596652 626.057547648 1016.09647822 720.571148777
538.443740094 549.776411466 631.742749808 1027.20758933 721.682259888
538.443740094 536.831967022 642.242766782 1038.31870045 722.793370999
538.443740094 523.887522578 652.742783757 1049.42981156 723.90448211
538.443740094 510.943078133 663.242800732 1060.54092267 725.015593221
538.443740094 497.998633689 673.742817707 1071.65203378 726.126704332
534.098369723 488.572707763 684.242834682 1082.76314489 727.237815443
520.376147501 499.252337392 684.002110916 1093.874256 719.460037665
506.653925279 510.363448503 683.39101678 1104.98536711 717.608185814
492.931703057 514.139374429 689.07621894 1116.09647822 718.719296925
479.209480834 512.306041096 699.576235914 1127.20758933 719.830408036
465.487258612 510.472707763 710.076252889 1138.31870045 720.941519147
451.76503639 508.639374429 720.576269864 1149.42981156 722.052630258
438.042814168 506.806041096 731.086471741 1160.35573748 723.163741369
424.320591945 504.972707763 741.586488716 1171.46684859 724.27485248
410.598369723 515.652337392 741.34576495 1182.5779597 716.497074702
396.876147501 526.763448503 740.734670814 1193.68907082 714.645222851
383.153925279 530.539374429 746.419872974 1204.80018193 715.756333962
369.431703057 528.706041096 756.919889949 1215.91129304 716.867445073
355.709480834 526.872707763 767.419906924 1227.02240415 717.978556184
341.987258612 525.039374429 777.919923898 1238.13351526 719.089667295
328.26503639 523.206041096 788.419940873 1249.24462637 720.200778406
