action step s
- 0 1
rmc8_1 1 2
rmc8_1 2 5
rmc8_1 3 5
rmc8_1 4 1
rmc8_1 5 2
rmc8_1 6 1
rmc8_1 7 3
rmc8_1 8 2
rmc8_1 9 5
rmc8_1 10 1
rmc8_1 11 2
rmc8_1 12 5
rmc8_1 13 6
rmc8_1 14 4
rmc8_1 15 2
rmc8_1 16 1
rmc8_1 17 2
rmc8_1 18 1
rmc8_1 19 2
rmc8_1 20 1
rmc8_1 21 2
rmc8_1 22 5
rmc8_1 23 1
rmc8_1 24 2
rmc8_1 25 1
rmc8_1 26 8
rmc8_1 27 2
rmc8_1 28 5
rmc8_1 29 1
rmc8_1 30 2
rmc8_1 31 1
rmc8_1 32 2
rmc8_1 33 4
rmc8_1 34 8
rmc8_1 35 1
rmc8_1 36 2
rmc8_1 37 1
rmc8_1 38 2
rmc8_1 39 1
rmc8_1 40 2
rmc8_1 41 1
rmc8_1 42 2
rmc8_1 43 4
rmc8_1 44 2
rmc8_1 45 1
rmc8_1 46 2
rmc8_1 47 1
rmc8_1 48 2
rmc8_1 49 4
rmc8_1 50 8
rmc8_1 51 2
rmc8_1 52 1
rmc8_1 53 2
rmc8_1 54 1
rmc8_1 55 2
rmc8_1 56 4
rmc8_1 57 2
rmc8_1 58 1
rmc8_1 59 8
rmc8_1 60 2
rmc8_1 61 5
rmc8_1 62 2
rmc8_1 63 4
rmc8_1 64 2
rmc8_1 65 1
rmc8_1 66 2
rmc8_1 67 4
rmc8_1 68 2
rmc8_1 69 1
rmc8_1 70 2
rmc8_1 71 1
rmc8_1 72 5
rmc8_1 73 8
rmc8_1 74 3
rmc8_1 75 2
rmc8_1 76 5
rmc8_1 77 6
rmc8_1 78 3
rmc8_1 79 5
rmc8_1 80 1
rmc8_1 81 2
rmc8_1 82 1
rmc8_1 83 3
rmc8_1 84 1
rmc8_1 85 2
rmc8_1 86 4
rmc8_1 87 2
rmc8_1 88 1
rmc8_1 89 5
rmc8_1 90 1
rmc8_1 91 2
rmc8_1 92 1
rmc8_1 93 2
rmc8_1 94 1
rmc8_1 95 2
rmc8_1 96 4
rmc8_1 97 8
rmc8_1 98 2
rmc8_1 99 1
rmc8_1 100 5
rmc8_1 101 1
rmc8_1 102 8
rmc8_1 103 2
rmc8_1 104 1
rmc8_1 105 3
rmc8_1 106 5
rmc8_1 107 6
rmc8_1 108 4
rmc8_1 109 2
rmc8_1 110 1
rmc8_1 111 5
rmc8_1 112 6
rmc8_1 113 4
rmc8_1 114 2
rmc8_1 115 1
rmc8_1 116 2
rmc8_1 117 1
rmc8_1 118 2
rmc8_1 119 1
rmc8_1 120 2
rmc8_1 121 1
rmc8_1 122 2
rmc8_1 123 1
rmc8_1 124 2
rmc8_1 125 4
rmc8_1 126 2
rmc8_1 127 4
rmc8_1 128 8
rmc8_1 129 3
rmc8_1 130 1
rmc8_1 131 2
rmc8_1 132 1
rmc8_1 133 2
rmc8_1 134 4
rmc8_1 135 2
rmc8_1 136 1
rmc8_1 137 4
rmc8_1 138 2
rmc8_1 139 5
rmc8_1 140 1
rmc8_1 141 8
rmc8_1 142 2
rmc8_1 143 1
rmc8_1 144 2
rmc8_1 145 4
rmc8_1 146 2
rmc8_1 147 1
rmc8_1 148 5
rmc8_1 149 1
rmc8_1 150 4
rmc8_1 151 2
rmc8_1 152 1
rmc8_1 153 4
rmc8_1 154 2
rmc8_1 155 5
rmc8_1 156 1
rmc8_1 157 2
rmc8_1 158 1
rmc8_1 159 8
rmc8_1 160 2
rmc8_1 161 1
rmc8_1 162 8
rmc8_1 163 2
rmc8_1 164 1
rmc8_1 165 2
rmc8_1 166 5
rmc8_1 167 1
rmc8_1 168 2
rmc8_1 169 1
rmc8_1 170 2
rmc8_1 171 1
rmc8_1 172 3
rmc8_1 173 6
rmc8_1 174 3
rmc8_1 175 2
rmc8_1 176 4
rmc8_1 177 2
rmc8_1 178 1
rmc8_1 179 2
rmc8_1 180 1
rmc8_1 181 2
rmc8_1 182 5
rmc8_1 183 5
rmc8_1 184 1
rmc8_1 185 3
rmc8_1 186 1
rmc8_1 187 2
rmc8_1 188 1
rmc8_1 189 2
rmc8_1 190 1
rmc8_1 191 2
rmc8_1 192 1
rmc8_1 193 2
rmc8_1 194 1
rmc8_1 195 2
rmc8_1 196 4
rmc8_1 197 2
rmc8_1 198 1
rmc8_1 199 2
rmc8_1 200 4
rmc8_1 201 2
rmc8_1 202 5
rmc8_1 203 1
rmc8_1 204 2
rmc8_1 205 1
rmc8_1 206 5
rmc8_1 207 6
rmc8_1 208 4
rmc8_1 209 2
rmc8_1 210 5
rmc8_1 211 2
rmc8_1 212 4
rmc8_1 213 8
rmc8_1 214 3
rmc8_1 215 2
rmc8_1 216 1
rmc8_1 217 1
rmc8_1 218 3
rmc8_1 219 1
rmc8_1 220 2
rmc8_1 221 4
rmc8_1 222 2
rmc8_1 223 1
rmc8_1 224 5
rmc8_1 225 1
rmc8_1 226 2
rmc8_1 227 1
rmc8_1 228 2
rmc8_1 229 4
rmc8_1 230 2
rmc8_1 231 5
rmc8_1 232 1
rmc8_1 233 2
rmc8_1 234 1
rmc8_1 235 3
rmc8_1 236 6
rmc8_1 237 3
rmc8_1 238 6
rmc8_1 239 4
rmc8_1 240 2
rmc8_1 241 5
rmc8_1 242 1
rmc8_1 243 2
rmc8_1 244 1
rmc8_1 245 2
rmc8_1 246 5
rmc8_1 247 1
rmc8_1 248 5
rmc8_1 249 1
rmc8_1 250 2
rmc8_1 251 1
rmc8_1 252 2
rmc8_1 253 1
rmc8_1 254 5
rmc8_1 255 1
rmc8_1 256 2
rmc8_1 257 1
rmc8_1 258 2
rmc8_1 259 5
rmc8_1 260 1
rmc8_1 261 2
rmc8_1 262 4
rmc8_1 263 2
rmc8_1 264 1
rmc8_1 265 2
rmc8_1 266 1
rmc8_1 267 2
rmc8_1 268 4
rmc8_1 269 2
rmc8_1 270 1
rmc8_1 271 5
rmc8_1 272 2
rmc8_1 273 1
rmc8_1 274 2
rmc8_1 275 1
rmc8_1 276 2
rmc8_1 277 1
rmc8_1 278 2
rmc8_1 279 5
rmc8_1 280 7
rmc8_1 281 3
rmc8_1 282 2
rmc8_1 283 1
rmc8_1 284 4
rmc8_1 285 2
rmc8_1 286 4
rmc8_1 287 2
rmc8_1 288 4
rmc8_1 289 2
rmc8_1 290 1
rmc8_1 291 2
rmc8_1 292 1
rmc8_1 293 2
rmc8_1 294 4
rmc8_1 295 2
rmc8_1 296 1
rmc8_1 297 2
rmc8_1 298 1
rmc8_1 299 5
rmc8_1 300 5
rmc8_1 301 1
rmc8_1 302 2
rmc8_1 303 1
rmc8_1 304 2
rmc8_1 305 4
rmc8_1 306 2
rmc8_1 307 1
rmc8_1 308 2
rmc8_1 309 1
rmc8_1 310 2
rmc8_1 311 1
rmc8_1 312 2
rmc8_1 313 4
rmc8_1 314 2
rmc8_1 315 5
rmc8_1 316 1
rmc8_1 317 8
rmc8_1 318 2
rmc8_1 319 1
rmc8_1 320 2
rmc8_1 321 1
rmc8_1 322 4
rmc8_1 323 2
rmc8_1 324 4
rmc8_1 325 2
rmc8_1 326 1
rmc8_1 327 2
rmc8_1 328 5
rmc8_1 329 8
rmc8_1 330 2
rmc8_1 331 1
rmc8_1 332 2
rmc8_1 333 1
rmc8_1 334 2
rmc8_1 335 1
rmc8_1 336 4
rmc8_1 337 2
rmc8_1 338 5
rmc8_1 339 6
rmc8_1 340 3
rmc8_1 341 2
rmc8_1 342 1
rmc8_1 343 2
rmc8_1 344 1
rmc8_1 345 8
rmc8_1 346 2
rmc8_1 347 1
rmc8_1 348 2
rmc8_1 349 1
rmc8_1 350 2
rmc8_1 351 5
rmc8_1 352 1
rmc8_1 353 2
rmc8_1 354 4
rmc8_1 355 2
rmc8_1 356 1
rmc8_1 357 2
rmc8_1 358 1
rmc8_1 359 2
rmc8_1 360 1
rmc8_1 361 4
rmc8_1 362 2
rmc8_1 363 1
rmc8_1 364 4
rmc8_1 365 2
rmc8_1 366 1
rmc8_1 367 3
rmc8_1 368 5
rmc8_1 369 1
rmc8_1 370 5
rmc8_1 371 1
rmc8_1 372 4
rmc8_1 373 2
rmc8_1 374 1
rmc8_1 375 3
rmc8_1 376 1
rmc8_1 377 2
rmc8_1 378 1
rmc8_1 379 5
rmc8_1 380 6
rmc8_1 381 3
rmc8_1 382 5
rmc8_1 383 1
rmc8_1 384 8
rmc8_1 385 2
rmc8_1 386 4
rmc8_1 387 2
rmc8_1 388 1
rmc8_1 389 2
rmc8_1 390 4
rmc8_1 391 2
rmc8_1 392 1
rmc8_1 393 2
rmc8_1 394 5
rmc8_1 395 6
rmc8_1 396 3
rmc8_1 397 6
rmc8_1 398 4
rmc8_1 399 2
rmc8_1 400 4
rmc8_1 401 8
rmc8_1 402 3
rmc8_1 403 1
rmc8_1 404 2
rmc8_1 405 4
rmc8_1 406 2
rmc8_1 407 5
rmc8_1 408 2
rmc8_1 409 1
rmc8_1 410 2
rmc8_1 411 1
rmc8_1 412 2
rmc8_1 413 1
rmc8_1 414 2
rmc8_1 415 1
rmc8_1 416 3
rmc8_1 417 6
rmc8_1 418 4
rmc8_1 419 2
rmc8_1 420 5
rmc8_1 421 5
rmc8_1 422 1
rmc8_1 423 2
rmc8_1 424 4
rmc8_1 425 2
rmc8_1 426 1
rmc8_1 427 2
rmc8_1 428 1
rmc8_1 429 4
rmc8_1 430 2
rmc8_1 431 4
rmc8_1 432 2
rmc8_1 433 1
rmc8_1 434 2
rmc8_1 435 1
rmc8_1 436 5
rmc8_1 437 1
rmc8_1 438 2
rmc8_1 439 1
