LIT101 LIT301 LIT401 LS601 LS602
400.003858912 563.96808842 752.364904681 200.262593487 330.813456736
400.003858912 552.102347679 761.979735339 210.632963857 331.850493773
400.003858912 539.157903235 772.479752313 221.744074968 332.961604884
400.003858912 526.21345879 782.979769288 232.855186079 334.072715995
400.003858912 513.269014346 793.479786263 243.96629719 335.183827106
400.003858912 500.324569902 803.979803238 255.077408301 336.294938217
397.945525579 489.046792124 814.479820213 266.188519412 337.406049328
384.223303357 499.726421753 814.239096447 277.299630524 329.62827155
370.501081135 510.837532865 813.628002311 288.410741635 327.776419699
356.778858912 514.61345879 819.313204471 299.521852746 328.88753081
343.05663669 512.780125457 829.813221445 310.632963857 329.998641921
329.334414468 510.946792124 840.31323842 321.744074968 331.109753032
315.612192246 509.11345879 850.813255395 332.855186079 332.220864143
301.889970023 507.280125457 861.31327237 343.96629719 333.331975254
288.167747801 505.446792124 871.813289345 355.077408301 334.443086365
274.445525579 516.126421753 871.572565579 366.188519412 326.665308587
260.723303357 527.237532865 870.961471443 377.299630524 324.813456736
247.001081135 531.01345879 876.646673603 388.410741635 325.924567847
233.278858912 529.180125457 887.146690578 399.521852746 327.035678958
219.55663669 527.346792124 897.646707552 410.632963857 328.146790069
205.834414468 525.51345879 908.146724527 421.744074968 329.25790118
192.112192246 523.680125457 918.656926404 432.670000894 330.369012291
178.389970023 521.846792124 929.156943379 443.781112005 331.480123402
164.667747801 532.526421753 928.916219613 454.892223116 323.702345625
150.945525579 543.637532865 928.305125477 466.003334227 321.850493773
137.223303357 547.41345879 933.990327637 477.114445338 322.961604884
123.501081135 545.580125457 944.490344612 488.22555645 324.072715995
109.778858912 543.746792124 954.990361587 499.336667561 325.183827106
96.0566366901 541.91345879 965.490378562 510.447778672 326.294938217
82.3344144679 540.080125457 975.990395536 521.558889783 327.406049328
