LIT101 LIT301 LIT401 LS601 LS602
547.227789268 471.565059169 668.641633909 383.309082133 362.769740145
534.42038186 470.069688799 678.256464567 393.679452504 363.806777182
520.698159638 468.236355466 688.756481541 404.790563615 364.917888293
506.975937416 466.403022132 699.256498516 415.901674726 366.028999405
493.253715194 464.569688799 709.756515491 427.012785837 367.140110516
479.531492971 462.736355466 720.256532466 438.123896948 368.251221627
465.809270749 460.903022132 730.756549441 449.235008059 369.362332738
452.087048527 471.582651762 730.515825675 460.34611917 361.58455496
438.364826305 482.693762873 729.904731539 471.457230282 359.732703108
424.642604082 486.469688799 735.589933699 482.568341393 360.843814219
410.92038186 484.636355466 746.089950673 493.679452504 361.954925331
397.198159638 482.803022132 756.589967648 504.790563615 363.066036442
383.475937416 480.969688799 767.089984623 515.901674726 364.177147553
369.753715194 479.136355466 777.590001598 527.012785837 365.288258664
356.031492971 477.303022132 788.090018573 538.123896948 366.399369775
342.309270749 487.982651762 787.849294807 549.235008059 358.621591997
328.587048527 499.093762873 787.238200671 560.34611917 356.769740145
314.864826305 502.869688799 792.923402831 571.457230282 357.880851256
301.142604082 501.036355466 803.423419805 582.568341393 358.991962368
287.42038186 499.203022132 813.92343678 593.679452504 360.103073479
273.698159638 497.369688799 824.423453755 604.790563615 361.21418459
259.975937416 495.536355466 834.933655632 615.716489541 362.325295701
246.253715194 493.703022132 845.433672607 626.827600652 363.436406812
232.531492971 504.382651762 845.192948841 637.938711763 355.658629034
218.809270749 515.493762873 844.581854705 649.049822874 353.806777182
205.087048527 519.269688799 850.267056865 660.160933985 354.917888293
191.364826305 517.436355466 860.76707384 671.272045096 356.028999405
177.642604082 515.603022132 871.267090815 682.383156208 357.140110516
163.92038186 513.769688799 881.767107789 693.494267319 358.251221627
150.198159638 511.936355466 892.267124764 704.60537843 359.362332738
