LIT101 LIT301 LIT401 LS601 LS602
881.941714911 582.840821996 678.907159482 376.717226994 399.378407603
881.941714911 570.975081255 688.52199014 387.087597364 400.41544464
881.941714911 558.030636811 699.022007115 398.198708475 401.526555751
881.941714911 545.086192366 709.522024089 409.309819586 402.637666862
881.941714911 532.141747922 720.022041064 420.420930697 403.748777973
881.941714911 519.197303477 730.522058039 431.532041808 404.859889084
881.941714911 506.252859033 741.022075014 442.64315292 405.971000196
881.941714911 505.821377551 740.781351248 453.754264031 398.193222418
881.941714911 505.821377551 740.170257112 464.865375142 396.341370566
881.941714911 498.486192366 745.855459272 475.976486253 397.452481677
878.053751948 488.68989607 756.355476247 487.087597364 398.563592788
864.331529726 486.856562737 766.855493221 498.198708475 399.674703899
850.609307504 485.023229403 777.355510196 509.309819586 400.78581501
836.887085281 483.18989607 787.855527171 520.420930697 401.896926122
823.164863059 481.356562737 798.355544146 531.532041808 403.008037233
809.442640837 492.036192366 798.11482038 542.64315292 395.230259455
795.720418615 503.147303477 797.503726244 553.754264031 393.378407603
781.998196393 506.923229403 803.188928404 564.865375142 394.489518714
768.27597417 505.08989607 813.688945379 575.976486253 395.600629825
754.553751948 503.256562737 824.188962353 587.087597364 396.711740936
740.831529726 501.423229403 834.688979328 598.198708475 397.822852047
727.109307504 499.58989607 845.199181205 609.124634401 398.933963159
713.387085281 497.756562737 855.69919818 620.235745512 400.04507427
699.664863059 508.436192366 855.458474414 631.346856623 392.267296492
685.942640837 519.547303477 854.847380278 642.457967734 390.41544464
672.220418615 523.323229403 860.532582438 653.569078846 391.526555751
658.498196393 521.48989607 871.032599413 664.680189957 392.637666862
644.77597417 519.656562737 881.532616388 675.791301068 393.748777973
631.053751948 517.823229403 892.032633363 686.902412179 394.859889084
617.331529726 515.98989607 902.532650337 698.01352329 395.971000196
