action step s
- 0 1
rmc256_1 1 1
rmc256_1 2 1
rmc256_1 3 2
rmc256_1 4 13
rmc256_1 5 7
rmc256_1 6 3
rmc256_1 7 1
rmc256_1 8 1
rmc256_1 9 1
rmc256_1 10 1
rmc256_1 11 2
rmc256_1 12 13
rmc256_1 13 7
rmc256_1 14 7
rmc256_1 15 2
rmc256_1 16 13
rmc256_1 17 1
rmc256_1 18 1
rmc256_1 19 1
rmc256_1 20 1
rmc256_1 21 1
rmc256_1 22 1
rmc256_1 23 7
rmc256_1 24 10
rmc256_1 25 4
rmc256_1 26 5
rmc256_1 27 2
rmc256_1 28 9
rmc256_1 29 5
rmc256_1 30 6
rmc256_1 31 2
rmc256_1 32 13
rmc256_1 33 1
rmc256_1 34 6
rmc256_1 35 2
rmc256_1 36 13
rmc256_1 37 1
rmc256_1 38 1
rmc256_1 39 2
rmc256_1 40 3
rmc256_1 41 1
rmc256_1 42 1
rmc256_1 43 1
rmc256_1 44 1
rmc256_1 45 1
rmc256_1 46 1
rmc256_1 47 1
rmc256_1 48 1
rmc256_1 49 1
rmc256_1 50 1
rmc256_1 51 2
rmc256_1 52 9
rmc256_1 53 4
rmc256_1 54 5
rmc256_1 55 2
rmc256_1 56 15
rmc256_1 57 1
rmc256_1 58 1
rmc256_1 59 1
rmc256_1 60 2
rmc256_1 61 3
rmc256_1 62 1
rmc256_1 63 6
rmc256_1 64 2
rmc256_1 65 9
rmc256_1 66 3
rmc256_1 67 1
rmc256_1 68 1
rmc256_1 69 1
rmc256_1 70 1
rmc256_1 71 1
rmc256_1 72 1
rmc256_1 73 1
rmc256_1 74 1
rmc256_1 75 1
rmc256_1 76 1
rmc256_1 77 1
rmc256_1 78 2
rmc256_1 79 9
rmc256_1 80 4
rmc256_1 81 5
rmc256_1 82 2
rmc256_1 83 3
rmc256_1 84 1
rmc256_1 85 1
rmc256_1 86 1
rmc256_1 87 6
rmc256_1 88 2
rmc256_1 89 9
rmc256_1 90 4
rmc256_1 91 3
rmc256_1 92 1
rmc256_1 93 1
rmc256_1 94 1
rmc256_1 95 1
rmc256_1 96 1
rmc256_1 97 1
rmc256_1 98 1
rmc256_1 99 1
rmc256_1 100 1
rmc256_1 101 1
rmc256_1 102 1
rmc256_1 103 2
rmc256_1 104 3
rmc256_1 105 1
rmc256_1 106 1
rmc256_1 107 1
rmc256_1 108 1
rmc256_1 109 1
rmc256_1 110 2
rmc256_1 111 9
rmc256_1 112 4
rmc256_1 113 11
rmc256_1 114 4
rmc256_1 115 5
rmc256_1 116 6
rmc256_1 117 2
rmc256_1 118 9
rmc256_1 119 5
rmc256_1 120 2
rmc256_1 121 9
rmc256_1 122 4
rmc256_1 123 5
rmc256_1 124 6
rmc256_1 125 2
rmc256_1 126 14
rmc256_1 127 4
rmc256_1 128 3
rmc256_1 129 1
rmc256_1 130 1
rmc256_1 131 2
rmc256_1 132 13
rmc256_1 133 7
rmc256_1 134 10
rmc256_1 135 4
rmc256_1 136 5
rmc256_1 137 2
rmc256_1 138 13
rmc256_1 139 7
rmc256_1 140 3
rmc256_1 141 1
rmc256_1 142 1
rmc256_1 143 1
rmc256_1 144 1
rmc256_1 145 1
rmc256_1 146 2
rmc256_1 147 9
rmc256_1 148 10
rmc256_1 149 4
rmc256_1 150 5
rmc256_1 151 12
rmc256_1 152 1
rmc256_1 153 1
rmc256_1 154 1
rmc256_1 155 1
rmc256_1 156 1
rmc256_1 157 1
rmc256_1 158 2
rmc256_1 159 9
rmc256_1 160 3
rmc256_1 161 1
rmc256_1 162 1
rmc256_1 163 1
rmc256_1 164 1
rmc256_1 165 1
rmc256_1 166 2
rmc256_1 167 9
rmc256_1 168 3
rmc256_1 169 1
rmc256_1 170 1
rmc256_1 171 7
rmc256_1 172 13
rmc256_1 173 9
rmc256_1 174 4
rmc256_1 175 2
rmc256_1 176 3
rmc256_1 177 1
rmc256_1 178 1
rmc256_1 179 1
rmc256_1 180 1
rmc256_1 181 6
rmc256_1 182 2
rmc256_1 183 3
rmc256_1 184 1
rmc256_1 185 1
rmc256_1 186 2
rmc256_1 187 3
rmc256_1 188 1
rmc256_1 189 1
rmc256_1 190 1
rmc256_1 191 2
rmc256_1 192 3
rmc256_1 193 1
rmc256_1 194 2
rmc256_1 195 9
