action step s
- 0 1
rmc16_1 1 3
rmc16_1 2 10
rmc16_1 3 1
rmc16_1 4 3
rmc16_1 5 8
rmc16_1 6 3
rmc16_1 7 3
rmc16_1 8 6
rmc16_1 9 5
rmc16_1 10 2
rmc16_1 11 8
rmc16_1 12 3
rmc16_1 13 6
rmc16_1 14 9
rmc16_1 15 7
rmc16_1 16 5
rmc16_1 17 2
rmc16_1 18 8
rmc16_1 19 3
rmc16_1 20 12
rmc16_1 21 4
rmc16_1 22 8
rmc16_1 23 3
rmc16_1 24 3
rmc16_1 25 12
rmc16_1 26 3
rmc16_1 27 3
rmc16_1 28 12
rmc16_1 29 3
rmc16_1 30 12
rmc16_1 31 3
rmc16_1 32 8
rmc16_1 33 3
rmc16_1 34 7
rmc16_1 35 5
rmc16_1 36 2
rmc16_1 37 4
rmc16_1 38 3
rmc16_1 39 3
rmc16_1 40 3
rmc16_1 41 8
rmc16_1 42 5
rmc16_1 43 2
rmc16_1 44 3
rmc16_1 45 3
rmc16_1 46 6
rmc16_1 47 5
rmc16_1 48 2
rmc16_1 49 4
rmc16_1 50 8
rmc16_1 51 3
rmc16_1 52 3
rmc16_1 53 7
rmc16_1 54 5
rmc16_1 55 2
rmc16_1 56 3
rmc16_1 57 3
rmc16_1 58 3
rmc16_1 59 7
rmc16_1 60 5
rmc16_1 61 2
rmc16_1 62 8
rmc16_1 63 4
rmc16_1 64 3
rmc16_1 65 6
rmc16_1 66 5
rmc16_1 67 2
rmc16_1 68 3
rmc16_1 69 8
rmc16_1 70 3
rmc16_1 71 8
rmc16_1 72 3
rmc16_1 73 8
rmc16_1 74 8
rmc16_1 75 3
rmc16_1 76 12
rmc16_1 77 1
rmc16_1 78 2
rmc16_1 79 8
rmc16_1 80 5
rmc16_1 81 2
rmc16_1 82 3
rmc16_1 83 6
rmc16_1 84 5
rmc16_1 85 2
rmc16_1 86 3
rmc16_1 87 6
rmc16_1 88 1
rmc16_1 89 2
rmc16_1 90 3
rmc16_1 91 3
rmc16_1 92 3
rmc16_1 93 6
rmc16_1 94 9
rmc16_1 95 5
rmc16_1 96 2
rmc16_1 97 4
rmc16_1 98 11
rmc16_1 99 2
rmc16_1 100 5
rmc16_1 101 2
rmc16_1 102 8
rmc16_1 103 3
rmc16_1 104 8
rmc16_1 105 3
rmc16_1 106 12
rmc16_1 107 1
rmc16_1 108 2
rmc16_1 109 8
rmc16_1 110 3
rmc16_1 111 3
rmc16_1 112 6
rmc16_1 113 1
rmc16_1 114 3
rmc16_1 115 3
rmc16_1 116 3
rmc16_1 117 8
rmc16_1 118 3
rmc16_1 119 6
rmc16_1 120 14
rmc16_1 121 2
rmc16_1 122 10
rmc16_1 123 9
rmc16_1 124 5
rmc16_1 125 2
rmc16_1 126 3
rmc16_1 127 3
rmc16_1 128 8
rmc16_1 129 3
rmc16_1 130 3
rmc16_1 131 12
rmc16_1 132 1
rmc16_1 133 3
rmc16_1 134 8
rmc16_1 135 3
rmc16_1 136 7
rmc16_1 137 6
rmc16_1 138 5
rmc16_1 139 2
rmc16_1 140 9
rmc16_1 141 5
rmc16_1 142 2
rmc16_1 143 8
rmc16_1 144 3
rmc16_1 145 8
rmc16_1 146 3
rmc16_1 147 12
rmc16_1 148 1
rmc16_1 149 2
rmc16_1 150 8
rmc16_1 151 5
rmc16_1 152 2
rmc16_1 153 3
rmc16_1 154 3
rmc16_1 155 3
rmc16_1 156 3
rmc16_1 157 3
rmc16_1 158 3
rmc16_1 159 3
rmc16_1 160 8
rmc16_1 161 3
rmc16_1 162 6
rmc16_1 163 15
rmc16_1 164 3
rmc16_1 165 12
rmc16_1 166 3
rmc16_1 167 3
rmc16_1 168 3
rmc16_1 169 8
rmc16_1 170 3
