 Value, Timestamp,,,,,,,,,healthy values,,attacked values
269.2386, 7/7/2015 10:33:42 AM,,,,,,,,,273.5453,,284.3886
269.2386, 7/7/2015 10:33:43 AM,,,,,,,,,273.5453,,284.3886
269.2386, 7/7/2015 10:33:44 AM,,,,,,,,,273.9297,,284.3886
269.2386, 7/7/2015 10:33:45 AM,,,,,,,,,273.9297,,284.3886
269.2386, 7/7/2015 10:33:46 AM,,,,,,,,,273.9297,,284.3886
269.2386, 7/7/2015 10:33:47 AM,,,,,,,,,273.9297,,284.3886
269.2386, 7/7/2015 10:33:48 AM,,,,,,,,,273.9297,,284.5681
269.2386, 7/7/2015 10:33:49 AM,,,,,,,,,273.9297,,284.645
269.2386, 7/7/2015 10:33:50 AM,,,,,,,,,274.0836,,284.645
269.2386, 7/7/2015 10:33:51 AM,,,,,,,,,274.0836,,284.645
269.2386, 7/7/2015 10:33:52 AM,,,,,,,,,274.3912,,284.645
269.2386, 7/7/2015 10:33:53 AM,,,,,,,,,274.4681,,284.645
269.2386, 7/7/2015 10:33:54 AM,,,,,,,,,274.4681,,284.645
269.2386, 7/7/2015 10:33:55 AM,,,,,,,,,274.4681,,284.645
269.2386, 7/7/2015 10:33:56 AM,,,,,,,,,274.7757,,284.645
269.2386, 7/7/2015 10:33:57 AM,,,,,,,,,274.9551,,284.645
269.2386, 7/7/2015 10:33:58 AM,,,,,,,,,274.9551,,284.645
269.2386, 7/7/2015 10:33:59 AM,,,,,,,,,274.9551,,284.645
269.2386, 7/7/2015 10:34:00 AM,,,,,,,,,275.032,,284.645
269.2386, 7/7/2015 10:34:01 AM,,,,,,,,,275.0833,,284.645
269.2386, 7/7/2015 10:34:02 AM,,,,,,,,,275.3397,,284.645
269.2386, 7/7/2015 10:34:03 AM,,,,,,,,,275.3397,,284.8244
269.2386, 7/7/2015 10:34:04 AM,,,,,,,,,275.3397,,284.8244
269.2386, 7/7/2015 10:34:05 AM,,,,,,,,,275.3397,,284.8244
269.2386, 7/7/2015 10:34:06 AM,,,,,,,,,275.3397,,284.8244
269.2386, 7/7/2015 10:34:07 AM,,,,,,,,,275.3397,,284.8244
269.2386, 7/7/2015 10:34:08 AM,,,,,,,,,275.3397,,284.8244
269.2386, 7/7/2015 10:34:09 AM,,,,,,,,,275.3397,,285.0038
269.2386, 7/7/2015 10:34:10 AM,,,,,,,,,275.3397,,285.0038
269.2386, 7/7/2015 10:34:11 AM,,,,,,,,,275.3397,,285.0038
269.2386, 7/7/2015 10:34:12 AM,,,,,,,,,275.3397,,285.0038
269.2386, 7/7/2015 10:34:13 AM,,,,,,,,,275.3397,,285.0038
269.2386, 7/7/2015 10:34:14 AM,,,,,,,,,275.3397,,285.0038
269.2386, 7/7/2015 10:34:15 AM,,,,,,,,,275.3397,,285.0038
269.2386, 7/7/2015 10:34:16 AM,,,,,,,,,275.3397,,285.0038
269.2386, 7/7/2015 10:34:17 AM,,,,,,,,,275.2115,,285.0038
269.2386, 7/7/2015 10:34:18 AM,,,,,,,,,275.1089,,285.0038
269.2386, 7/7/2015 10:34:19 AM,,,,,,,,,275.1089,,285.0038
269.2386, 7/7/2015 10:34:20 AM,,,,,,,,,275.1089,,285.0807
269.2386, 7/7/2015 10:34:21 AM,,,,,,,,,275.1089,,285.0807
269.2386, 7/7/2015 10:34:22 AM,,,,,,,,,275.1089,,285.2346
269.2386, 7/7/2015 10:34:23 AM,,,,,,,,,275.1089,,285.2346
269.2386, 7/7/2015 10:34:24 AM,,,,,,,,,275.1089,,285.2346
269.2386, 7/7/2015 10:34:25 AM,,,,,,,,,275.3653,,285.2346
269.2386, 7/7/2015 10:34:26 AM,,,,,,,,,275.3653,,285.2346
269.2386, 7/7/2015 10:34:27 AM,,,,,,,,,275.3653,,285.2346
269.2386, 7/7/2015 10:34:28 AM,,,,,,,,,275.3653,,285.2858
269.2386, 7/7/2015 10:34:29 AM,,,,,,,,,275.5191,,285.3884
269.2386, 7/7/2015 10:34:30 AM,,,,,,,,,275.5191,,285.3884
269.2386, 7/7/2015 10:34:31 AM,,,,,,,,,275.5191,,285.3884
269.2386, 7/7/2015 10:34:32 AM,,,,,,,,,275.5191,,285.4909
269.2386, 7/7/2015 10:34:33 AM,,,,,,,,,275.5191,,285.4909
269.2386, 7/7/2015 10:34:34 AM,,,,,,,,,275.6729,,285.4909
269.2386, 7/7/2015 10:34:35 AM,,,,,,,,,275.6729,,285.4909
269.2386, 7/7/2015 10:34:36 AM,,,,,,,,,275.6729,,285.4909
269.2386, 7/7/2015 10:34:37 AM,,,,,,,,,275.6729,,285.4909
269.2386, 7/7/2015 10:34:38 AM,,,,,,,,,275.6729,,285.4909
269.2386, 7/7/2015 10:34:39 AM,,,,,,,,,275.6729,,285.4909
269.2386, 7/7/2015 10:34:40 AM,,,,,,,,,275.6729,,285.4909
269.2386, 7/7/2015 10:34:41 AM,,,,,,,,,275.8011,,285.4909
269.2386, 7/7/2015 10:34:42 AM,,,,,,,,,276.1087,,285.4909
269.2386, 7/7/2015 10:34:43 AM,,,,,,,,,276.16,,285.4909
269.2386, 7/7/2015 10:34:44 AM,,,,,,,,,276.2881,,285.4909
269.2386, 7/7/2015 10:34:45 AM,,,,,,,,,276.2881,,285.4909
269.2386, 7/7/2015 10:34:46 AM,,,,,,,,,276.365,,285.5422
269.2386, 7/7/2015 10:34:47 AM,,,,,,,,,276.7495,,285.5422
269.2386, 7/7/2015 10:34:48 AM,,,,,,,,,276.7495,,285.5422
269.2386, 7/7/2015 10:34:49 AM,,,,,,,,,276.7495,,285.7729
269.2386, 7/7/2015 10:34:50 AM,,,,,,,,,276.7495,,285.7729
269.2386, 7/7/2015 10:34:51 AM,,,,,,,,,276.7495,,285.7729
269.2386, 7/7/2015 10:34:52 AM,,,,,,,,,276.7495,,285.7729
269.2386, 7/7/2015 10:34:53 AM,,,,,,,,,276.7495,,285.7729
269.2386, 7/7/2015 10:34:54 AM,,,,,,,,,276.7495,,285.7729
269.2386, 7/7/2015 10:34:55 AM,,,,,,,,,276.7495,,285.7729
269.2386, 7/7/2015 10:34:56 AM,,,,,,,,,276.7495,,285.7729
269.2386, 7/7/2015 10:34:57 AM,,,,,,,,,276.6726,,285.7729
269.2386, 7/7/2015 10:34:58 AM,,,,,,,,,276.5188,,285.7729
269.2386, 7/7/2015 10:34:59 AM,,,,,,,,,276.5188,,285.7729
269.2386, 7/7/2015 10:35:00 AM,,,,,,,,,276.5188,,285.7729
269.2386, 7/7/2015 10:35:01 AM,,,,,,,,,276.5188,,285.7729
269.2386, 7/7/2015 10:35:02 AM,,,,,,,,,276.5188,,285.7729
269.2386, 7/7/2015 10:35:03 AM,,,,,,,,,276.5188,,285.7729
269.2386, 7/7/2015 10:35:04 AM,,,,,,,,,276.5188,,285.7729
269.2386, 7/7/2015 10:35:05 AM,,,,,,,,,276.5188,,285.7729
269.2386, 7/7/2015 10:35:06 AM,,,,,,,,,276.5188,,285.7729
269.2386, 7/7/2015 10:35:07 AM,,,,,,,,,276.5188,,285.9267
269.2386, 7/7/2015 10:35:08 AM,,,,,,,,,276.5188,,285.9267
269.2386, 7/7/2015 10:35:09 AM,,,,,,,,,276.8008,,285.9267
269.2386, 7/7/2015 10:35:10 AM,,,,,,,,,277.0315,,285.9267
269.2386, 7/7/2015 10:35:11 AM,,,,,,,,,277.0315,,285.9267
269.2386, 7/7/2015 10:35:12 AM,,,,,,,,,277.0315,,285.9267
269.2386, 7/7/2015 10:35:13 AM,,,,,,,,,277.0315,,285.9267
269.2386, 7/7/2015 10:35:14 AM,,,,,,,,,277.0315,,285.9267
269.2386, 7/7/2015 10:35:15 AM,,,,,,,,,277.0315,,286.1061
269.2386, 7/7/2015 10:35:16 AM,,,,,,,,,277.0315,,286.1061
269.2386, 7/7/2015 10:35:17 AM,,,,,,,,,277.0315,,286.1061
269.2386, 7/7/2015 10:35:18 AM,,,,,,,,,277.0315,,286.1061
269.2386, 7/7/2015 10:35:19 AM,,,,,,,,,277.0315,,286.1061
269.2386, 7/7/2015 10:35:20 AM,,,,,,,,,277.0315,,286.1061
269.2386, 7/7/2015 10:35:21 AM,,,,,,,,,277.3391,,286.1061
269.2386, 7/7/2015 10:35:22 AM,,,,,,,,,277.3391,,286.2343
269.2386, 7/7/2015 10:35:23 AM,,,,,,,,,277.3391,,286.2343
269.2386, 7/7/2015 10:35:24 AM,,,,,,,,,277.3391,,286.2343
269.2386, 7/7/2015 10:35:25 AM,,,,,,,,,277.6724,,286.2343
269.2386, 7/7/2015 10:35:26 AM,,,,,,,,,277.7749,,286.2343
269.2386, 7/7/2015 10:35:27 AM,,,,,,,,,277.98,,286.2343
269.2386, 7/7/2015 10:35:28 AM,,,,,,,,,278.1851,,286.4394
269.2386, 7/7/2015 10:35:29 AM,,,,,,,,,278.1851,,286.4394
269.2386, 7/7/2015 10:35:30 AM,,,,,,,,,278.3389,,286.4394
269.2386, 7/7/2015 10:35:31 AM,,,,,,,,,278.4927,,286.4394
269.2386, 7/7/2015 10:35:32 AM,,,,,,,,,278.6721,,286.4394
269.2386, 7/7/2015 10:35:33 AM,,,,,,,,,278.6721,,286.4394
269.2386, 7/7/2015 10:35:34 AM,,,,,,,,,278.9541,,286.4394
269.2386, 7/7/2015 10:35:35 AM,,,,,,,,,278.9541,,286.4394
269.2386, 7/7/2015 10:35:36 AM,,,,,,,,,279.0823,,286.4394
269.2386, 7/7/2015 10:35:37 AM,,,,,,,,,279.2617,,286.4394
269.2386, 7/7/2015 10:35:38 AM,,,,,,,,,279.313,,286.4394
269.2386, 7/7/2015 10:35:39 AM,,,,,,,,,279.4412,,286.4394
269.2386, 7/7/2015 10:35:40 AM,,,,,,,,,279.4412,,286.4394
269.2386, 7/7/2015 10:35:41 AM,,,,,,,,,279.4412,,286.4394
269.2386, 7/7/2015 10:35:42 AM,,,,,,,,,279.4412,,286.4394
269.2386, 7/7/2015 10:35:43 AM,,,,,,,,,279.7744,,286.5163
269.2386, 7/7/2015 10:35:44 AM,,,,,,,,,279.7744,,286.5675
269.2386, 7/7/2015 10:35:45 AM,,,,,,,,,280.0051,,286.5675
269.2386, 7/7/2015 10:35:46 AM,,,,,,,,,280.082,,286.5675
269.2386, 7/7/2015 10:35:47 AM,,,,,,,,,280.2871,,286.5675
269.2386, 7/7/2015 10:35:48 AM,,,,,,,,,280.4153,,286.6701
269.2386, 7/7/2015 10:35:49 AM,,,,,,,,,280.6204,,286.747
269.2386, 7/7/2015 10:35:50 AM,,,,,,,,,280.6204,,286.747
269.2386, 7/7/2015 10:35:51 AM,,,,,,,,,281.0049,,286.747
269.2386, 7/7/2015 10:35:52 AM,,,,,,,,,281.0049,,286.747
269.2386, 7/7/2015 10:35:53 AM,,,,,,,,,281.0049,,286.747
269.2386, 7/7/2015 10:35:54 AM,,,,,,,,,281.0049,,286.747
269.2386, 7/7/2015 10:35:55 AM,,,,,,,,,281.2868,,286.747
269.2386, 7/7/2015 10:35:56 AM,,,,,,,,,281.2868,,286.747
269.2386, 7/7/2015 10:35:57 AM,,,,,,,,,281.415,,286.747
269.2386, 7/7/2015 10:35:58 AM,,,,,,,,,281.697,,286.747
269.2386, 7/7/2015 10:35:59 AM,,,,,,,,,281.697,,286.747
269.2386, 7/7/2015 10:36:00 AM,,,,,,,,,281.697,,286.747
269.2386, 7/7/2015 10:36:01 AM,,,,,,,,,281.697,,286.747
269.2386, 7/7/2015 10:36:02 AM,,,,,,,,,281.697,,286.8752
269.2386, 7/7/2015 10:36:03 AM,,,,,,,,,281.697,,286.8752
269.2386, 7/7/2015 10:36:04 AM,,,,,,,,,281.9021,,286.9008
269.2386, 7/7/2015 10:36:05 AM,,,,,,,,,282.0046,,286.9008
269.2386, 7/7/2015 10:36:06 AM,,,,,,,,,282.0046,,286.9008
269.2386, 7/7/2015 10:36:07 AM,,,,,,,,,282.0046,,287.1315
269.2386, 7/7/2015 10:36:08 AM,,,,,,,,,282.3122,,287.1315
269.2386, 7/7/2015 10:36:09 AM,,,,,,,,,282.3122,,287.1315
269.2386, 7/7/2015 10:36:10 AM,,,,,,,,,282.3122,,287.1315
269.2386, 7/7/2015 10:36:11 AM,,,,,,,,,282.3122,,287.1315
269.2386, 7/7/2015 10:36:12 AM,,,,,,,,,282.3122,,287.1315
269.2386, 7/7/2015 10:36:13 AM,,,,,,,,,282.6711,,287.1315
269.2386, 7/7/2015 10:36:14 AM,,,,,,,,,282.6711,,287.1315
269.2386, 7/7/2015 10:36:15 AM,,,,,,,,,282.6711,,287.1315
269.2386, 7/7/2015 10:36:16 AM,,,,,,,,,282.6711,,287.1315
269.2386, 7/7/2015 10:36:17 AM,,,,,,,,,282.6711,,287.2084
269.2386, 7/7/2015 10:36:18 AM,,,,,,,,,282.6711,,287.3366
269.2386, 7/7/2015 10:36:19 AM,,,,,,,,,282.8506,,287.3366
269.2386, 7/7/2015 10:36:20 AM,,,,,,,,,282.8506,,287.3366
269.2386, 7/7/2015 10:36:21 AM,,,,,,,,,282.9275,,287.3366
269.2386, 7/7/2015 10:36:22 AM,,,,,,,,,282.9275,,287.3366
269.2386, 7/7/2015 10:36:23 AM,,,,,,,,,282.9275,,287.3366
269.2386, 7/7/2015 10:36:24 AM,,,,,,,,,282.9275,,287.3366
269.2386, 7/7/2015 10:36:25 AM,,,,,,,,,282.9275,,287.3366
269.2386, 7/7/2015 10:36:26 AM,,,,,,,,,282.9275,,287.3366
269.2386, 7/7/2015 10:36:27 AM,,,,,,,,,283.03,,287.3366
269.2386, 7/7/2015 10:36:28 AM,,,,,,,,,283.1838,,287.3366
269.2386, 7/7/2015 10:36:29 AM,,,,,,,,,283.1838,,287.3366
269.2386, 7/7/2015 10:36:30 AM,,,,,,,,,283.1838,,287.3366
269.2386, 7/7/2015 10:36:31 AM,,,,,,,,,283.3376,,287.3366
269.2386, 7/7/2015 10:36:32 AM,,,,,,,,,283.3376,,287.3366
269.2386, 7/7/2015 10:36:33 AM,,,,,,,,,283.5427,,287.3366
269.2386, 7/7/2015 10:36:34 AM,,,,,,,,,283.5427,,287.3366
269.2386, 7/7/2015 10:36:35 AM,,,,,,,,,283.5427,,287.3366
269.2386, 7/7/2015 10:36:36 AM,,,,,,,,,283.5427,,287.3366
269.2386, 7/7/2015 10:36:37 AM,,,,,,,,,283.8503,,287.3366
269.2386, 7/7/2015 10:36:38 AM,,,,,,,,,283.9785,,287.3366
269.2386, 7/7/2015 10:36:39 AM,,,,,,,,,284.081,,287.3366
269.2386, 7/7/2015 10:36:40 AM,,,,,,,,,284.081,,287.3366
269.2386, 7/7/2015 10:36:41 AM,,,,,,,,,284.4655,,287.3366
269.2386, 7/7/2015 10:36:42 AM,,,,,,,,,284.4655,,287.4135
269.2386, 7/7/2015 10:36:43 AM,,,,,,,,,284.4655,,287.4648
269.2386, 7/7/2015 10:36:44 AM,,,,,,,,,284.6962,,287.6442
269.2386, 7/7/2015 10:36:45 AM,,,,,,,,,284.6962,,287.6698
269.2386, 7/7/2015 10:36:46 AM,,,,,,,,,284.6962,,287.6698
269.2386, 7/7/2015 10:36:47 AM,,,,,,,,,284.9013,,287.6698
269.2386, 7/7/2015 10:36:48 AM,,,,,,,,,284.9782,,287.6698
269.2386, 7/7/2015 10:36:49 AM,,,,,,,,,285.0295,,287.6698
269.2386, 7/7/2015 10:36:50 AM,,,,,,,,,285.1064,,287.6698
