 Timestamp,,,,,healthy value,,,attacked  Value
 30/6/2015 5:15:00 PM,,,,,295.6165,,,315.637
 30/6/2015 5:15:01 PM,,,,,295.4627,,,315.637
 30/6/2015 5:15:02 PM,,,,,295.3089,,,315.637
 30/6/2015 5:15:03 PM,,,,,295.3089,,,315.4319
 30/6/2015 5:15:04 PM,,,,,295.3089,,,315.3294
 30/6/2015 5:15:05 PM,,,,,295.1038,,,315.0987
 30/6/2015 5:15:06 PM,,,,,295.0526,,,315.0987
 30/6/2015 5:15:07 PM,,,,,294.8218,,,315.0987
 30/6/2015 5:15:08 PM,,,,,294.7962,,,314.8167
 30/6/2015 5:15:09 PM,,,,,294.7962,,,314.8167
 30/6/2015 5:15:10 PM,,,,,294.7962,,,314.7142
 30/6/2015 5:15:11 PM,,,,,294.7962,,,314.7142
 30/6/2015 5:15:12 PM,,,,,294.7962,,,314.4322
 30/6/2015 5:15:13 PM,,,,,294.7962,,,314.4322
 30/6/2015 5:15:14 PM,,,,,294.5911,,,314.4322
 30/6/2015 5:15:15 PM,,,,,294.5911,,,314.2015
 30/6/2015 5:15:16 PM,,,,,294.5911,,,314.2015
 30/6/2015 5:15:17 PM,,,,,294.5911,,,314.2015
 30/6/2015 5:15:18 PM,,,,,294.5911,,,314.2015
 30/6/2015 5:15:19 PM,,,,,294.5911,,,314.2015
 30/6/2015 5:15:20 PM,,,,,294.5911,,,314.2015
 30/6/2015 5:15:21 PM,,,,,294.5911,,,314.2015
 30/6/2015 5:15:22 PM,,,,,294.5911,,,314.022
 30/6/2015 5:15:23 PM,,,,,294.5911,,,314.022
 30/6/2015 5:15:24 PM,,,,,294.5911,,,314.022
 30/6/2015 5:15:25 PM,,,,,294.4117,,,314.022
 30/6/2015 5:15:26 PM,,,,,294.2835,,,314.022
 30/6/2015 5:15:27 PM,,,,,294.2835,,,314.022
 30/6/2015 5:15:28 PM,,,,,294.2835,,,314.022
 30/6/2015 5:15:29 PM,,,,,294.2835,,,314.022
 30/6/2015 5:15:30 PM,,,,,294.2835,,,314.022
 30/6/2015 5:15:31 PM,,,,,294.2835,,,314.022
 30/6/2015 5:15:32 PM,,,,,294.2835,,,314.022
 30/6/2015 5:15:33 PM,,,,,294.2835,,,313.8426
 30/6/2015 5:15:34 PM,,,,,294.2835,,,313.8426
 30/6/2015 5:15:35 PM,,,,,294.181,,,313.8426
 30/6/2015 5:15:36 PM,,,,,294.1553,,,313.8426
 30/6/2015 5:15:37 PM,,,,,294.1553,,,313.8426
 30/6/2015 5:15:38 PM,,,,,294.1553,,,313.7657
 30/6/2015 5:15:39 PM,,,,,294.1553,,,313.6632
 30/6/2015 5:15:40 PM,,,,,294.1553,,,313.4581
 30/6/2015 5:15:41 PM,,,,,294.1553,,,313.4581
 30/6/2015 5:15:42 PM,,,,,294.1553,,,313.4581
 30/6/2015 5:15:43 PM,,,,,294.1553,,,313.2018
