 Value, Timestamp
0.001408992, 21/8/2015 2:17:36 PM
0.001408992, 21/8/2015 2:17:37 PM
0.001408992, 21/8/2015 2:17:38 PM
0.001408992, 21/8/2015 2:17:39 PM
0.001408992, 21/8/2015 2:17:40 PM
0.001408992, 21/8/2015 2:17:41 PM
0.001408992, 21/8/2015 2:17:42 PM
0.001408992, 21/8/2015 2:17:43 PM
0.001408992, 21/8/2015 2:17:44 PM
0.001408992, 21/8/2015 2:17:45 PM
0.001408992, 21/8/2015 2:17:46 PM
0.001408992, 21/8/2015 2:17:47 PM
0.001408992, 21/8/2015 2:17:48 PM
0.001408992, 21/8/2015 2:17:49 PM
0.001408992, 21/8/2015 2:17:50 PM
0.001408992, 21/8/2015 2:17:51 PM
0.001408992, 21/8/2015 2:17:52 PM
0.001408992, 21/8/2015 2:17:53 PM
0.001408992, 21/8/2015 2:17:54 PM
0.001408992, 21/8/2015 2:17:55 PM
0.001408992, 21/8/2015 2:17:56 PM
0.001408992, 21/8/2015 2:17:57 PM
0.001408992, 21/8/2015 2:17:58 PM
0.001408992, 21/8/2015 2:17:59 PM
0.001408992, 21/8/2015 2:18:00 PM
0.001408992, 21/8/2015 2:18:01 PM
0.001408992, 21/8/2015 2:18:02 PM
0.001408992, 21/8/2015 2:18:03 PM
0.001408992, 21/8/2015 2:18:04 PM
0.001408992, 21/8/2015 2:18:05 PM
0.001152812, 21/8/2015 2:18:06 PM
0.001152812, 21/8/2015 2:18:07 PM
0.001152812, 21/8/2015 2:18:08 PM
0.001152812, 21/8/2015 2:18:09 PM
0.001152812, 21/8/2015 2:18:10 PM
0.001152812, 21/8/2015 2:18:11 PM
0.001152812, 21/8/2015 2:18:12 PM
0.001152812, 21/8/2015 2:18:13 PM
0.001152812, 21/8/2015 2:18:14 PM
0.001152812, 21/8/2015 2:18:15 PM
0.001152812, 21/8/2015 2:18:16 PM
0.001152812, 21/8/2015 2:18:17 PM
0.001152812, 21/8/2015 2:18:18 PM
0.001152812, 21/8/2015 2:18:19 PM
0.001152812, 21/8/2015 2:18:20 PM
0.001152812, 21/8/2015 2:18:21 PM
0.001152812, 21/8/2015 2:18:22 PM
0.001152812, 21/8/2015 2:18:23 PM
0.001152812, 21/8/2015 2:18:24 PM
0.001152812, 21/8/2015 2:18:25 PM
0.001152812, 21/8/2015 2:18:26 PM
0.001152812, 21/8/2015 2:18:27 PM
0.001152812, 21/8/2015 2:18:28 PM
0.001152812, 21/8/2015 2:18:29 PM
0.001152812, 21/8/2015 2:18:30 PM
0.001152812, 21/8/2015 2:18:31 PM
0.001152812, 21/8/2015 2:18:32 PM
0.001152812, 21/8/2015 2:18:33 PM
0.001152812, 21/8/2015 2:18:34 PM
0.001152812, 21/8/2015 2:18:35 PM
0.001152812, 21/8/2015 2:18:36 PM
0.001152812, 21/8/2015 2:18:37 PM
0.001152812, 21/8/2015 2:18:38 PM
0.001152812, 21/8/2015 2:18:39 PM
0.001152812, 21/8/2015 2:18:40 PM
0.001152812, 21/8/2015 2:18:41 PM
0.001152812, 21/8/2015 2:18:42 PM
0.001152812, 21/8/2015 2:18:43 PM
0.001152812, 21/8/2015 2:18:44 PM
0.001152812, 21/8/2015 2:18:45 PM
0.001152812, 21/8/2015 2:18:46 PM
0.001152812, 21/8/2015 2:18:47 PM
0.001152812, 21/8/2015 2:18:48 PM
0.001152812, 21/8/2015 2:18:49 PM
0.001152812, 21/8/2015 2:18:50 PM
0.001152812, 21/8/2015 2:18:51 PM
0.001152812, 21/8/2015 2:18:52 PM
0.001152812, 21/8/2015 2:18:53 PM
0.001152812, 21/8/2015 2:18:54 PM
0.001152812, 21/8/2015 2:18:55 PM
0.001152812, 21/8/2015 2:18:56 PM
0.001152812, 21/8/2015 2:18:57 PM
0.001152812, 21/8/2015 2:18:58 PM
0.001537082, 21/8/2015 2:18:59 PM
0.002049443, 21/8/2015 2:19:00 PM
0.002049443, 21/8/2015 2:19:01 PM
0.002049443, 21/8/2015 2:19:02 PM
0.002049443, 21/8/2015 2:19:03 PM
0.000640451, 21/8/2015 2:19:04 PM
0.000640451, 21/8/2015 2:19:05 PM
0.000640451, 21/8/2015 2:19:06 PM
0.000640451, 21/8/2015 2:19:07 PM
0.000640451, 21/8/2015 2:19:08 PM
0.001537082, 21/8/2015 2:19:09 PM
0.001537082, 21/8/2015 2:19:10 PM
0.001537082, 21/8/2015 2:19:11 PM
0.001537082, 21/8/2015 2:19:12 PM
0.001537082, 21/8/2015 2:19:13 PM
0.001537082, 21/8/2015 2:19:14 PM
0.001537082, 21/8/2015 2:19:15 PM
