LIT101 LIT301 LIT401 LS601 LS602
321.097243228 456.272125903 582.172743669 899.770628444 376.026095325
308.28983582 454.776755532 591.787574327 910.140998814 377.063132362
294.567613598 452.943422199 602.287591302 921.252109925 378.174243473
280.845391376 451.110088866 612.787608277 932.363221036 379.285354584
267.123169154 449.276755532 623.287625252 943.474332147 380.396465695
253.400946931 447.443422199 633.787642227 954.585443259 381.507576806
239.678724709 445.610088866 644.287659202 965.69655437 382.618687917
225.956502487 456.289718495 644.046935436 976.807665481 374.840910139
212.234280265 467.400829606 643.435841299 987.918776592 372.989058288
198.512058043 471.176755532 649.121043459 999.029887703 374.100169399
184.78983582 469.343422199 659.621060434 1010.14099881 375.21128051
171.067613598 467.510088866 670.121077409 1021.25210993 376.322391621
157.345391376 465.676755532 680.621094384 1032.36322104 377.433502732
143.623169154 463.843422199 691.121111359 1043.47433215 378.544613843
129.900946931 462.010088866 701.621128334 1054.58544326 379.655724954
116.178724709 472.689718495 701.380404568 1065.69655437 371.877947176
102.456502487 483.800829606 700.769310431 1076.80766548 370.026095325
88.7342802647 487.576755532 706.454512591 1087.91877659 371.137206436
75.0120580425 485.743422199 716.954529566 1099.0298877 372.248317547
61.2898358203 483.910088866 727.454546541 1110.14099881 373.359428658
47.5676135981 482.076755532 737.954563516 1121.25210993 374.470539769
33.8453913758 480.243422199 748.464765393 1132.17803585 375.58165088
20.1231691536 478.410088866 758.964782368 1143.28914696 376.692761991
6.4009469314 489.089718495 758.724058602 1154.40025807 368.914984213
-7.32127529082 500.200829606 758.112964466 1165.51136918 367.063132362
-21.043497513 503.976755532 763.798166626 1176.6224803 368.174243473
-34.7657197353 502.143422199 774.298183601 1187.73359141 369.285354584
-48.4879419575 500.310088866 784.798200575 1198.84470252 370.396465695
-62.2101641797 498.476755532 795.29821755 1209.95581363 371.507576806
-75.9323864019 496.643422199 805.798234525 1221.06692474 372.618687917
