Attacked value, Timestamp,,,,,,healthy value
96.41759, 30/6/2015 3:35:39 PM,,,,,,120.9626
96.00102, 30/6/2015 3:35:40 PM,,,,,,120.9626
96.00102, 30/6/2015 3:35:41 PM,,,,,,120.9626
95.71264, 30/6/2015 3:35:42 PM,,,,,,120.9626
95.3922, 30/6/2015 3:35:43 PM,,,,,,120.6742
95.16791, 30/6/2015 3:35:44 PM,,,,,,120.6101
95.16791, 30/6/2015 3:35:45 PM,,,,,,120.6101
95.16791, 30/6/2015 3:35:46 PM,,,,,,120.6101
95.16791, 30/6/2015 3:35:47 PM,,,,,,120.6101
95.16791, 30/6/2015 3:35:48 PM,,,,,,120.6101
95.16791, 30/6/2015 3:35:49 PM,,,,,,120.8344
95.16791, 30/6/2015 3:35:50 PM,,,,,,120.9305
95.16791, 30/6/2015 3:35:51 PM,,,,,,121.2189
94.91156, 30/6/2015 3:35:52 PM,,,,,,121.283
94.59113, 30/6/2015 3:35:53 PM,,,,,,121.6034
94.2707, 30/6/2015 3:35:54 PM,,,,,,121.6034
94.2707, 30/6/2015 3:35:55 PM,,,,,,121.6034
93.75801, 30/6/2015 3:35:56 PM,,,,,,121.6034
93.66188, 30/6/2015 3:35:57 PM,,,,,,121.6034
93.66188, 30/6/2015 3:35:58 PM,,,,,,122.0841
93.66188, 30/6/2015 3:35:59 PM,,,,,,122.0841
93.66188, 30/6/2015 3:36:00 PM,,,,,,122.0841
93.66188, 30/6/2015 3:36:01 PM,,,,,,122.0841
93.85414, 30/6/2015 3:36:02 PM,,,,,,122.0841
94.55909, 30/6/2015 3:36:03 PM,,,,,,122.3404
95.00769, 30/6/2015 3:36:04 PM,,,,,,122.3404
95.32812, 30/6/2015 3:36:05 PM,,,,,,122.3404
95.6806, 30/6/2015 3:36:06 PM,,,,,,122.4366
95.77673, 30/6/2015 3:36:07 PM,,,,,,122.4366
95.77673, 30/6/2015 3:36:08 PM,,,,,,122.4366
95.07178, 30/6/2015 3:36:09 PM,,,,,,122.4366
94.75134, 30/6/2015 3:36:10 PM,,,,,,122.4366
94.33479, 30/6/2015 3:36:11 PM,,,,,,122.4366
94.23866, 30/6/2015 3:36:12 PM,,,,,,122.4366
94.20661, 30/6/2015 3:36:13 PM,,,,,,122.4366
94.01436, 30/6/2015 3:36:14 PM,,,,,,122.4366
93.75801, 30/6/2015 3:36:15 PM,,,,,,122.3725
93.50166, 30/6/2015 3:36:16 PM,,,,,,122.0841
93.50166, 30/6/2015 3:36:17 PM,,,,,,122.0841
93.50166, 30/6/2015 3:36:18 PM,,,,,,122.0841
94.36683, 30/6/2015 3:36:19 PM,,,,,,122.5006
94.36683, 30/6/2015 3:36:20 PM,,,,,,122.5006
94.36683, 30/6/2015 3:36:21 PM,,,,,,122.5006
94.36683, 30/6/2015 3:36:22 PM,,,,,,122.7249
93.79005, 30/6/2015 3:36:23 PM,,,,,,122.7249
93.79005, 30/6/2015 3:36:24 PM,,,,,,122.7249
93.43758, 30/6/2015 3:36:25 PM,,,,,,122.7249
93.43758, 30/6/2015 3:36:26 PM,,,,,,123.1415
93.43758, 30/6/2015 3:36:27 PM,,,,,,123.1415
93.43758, 30/6/2015 3:36:28 PM,,,,,,123.1415
93.43758, 30/6/2015 3:36:29 PM,,,,,,123.1415
93.43758, 30/6/2015 3:36:30 PM,,,,,,122.9172
93.43758, 30/6/2015 3:36:31 PM,,,,,,122.6609
93.43758, 30/6/2015 3:36:32 PM,,,,,,122.6609
93.43758, 30/6/2015 3:36:33 PM,,,,,,122.6609
93.08511, 30/6/2015 3:36:34 PM,,,,,,123.0454
93.08511, 30/6/2015 3:36:35 PM,,,,,,123.2376
93.08511, 30/6/2015 3:36:36 PM,,,,,,123.4619
93.40554, 30/6/2015 3:36:37 PM,,,,,,123.4619
93.50166, 30/6/2015 3:36:38 PM,,,,,,123.4619
93.62984, 30/6/2015 3:36:39 PM,,,,,,123.4619
93.62984, 30/6/2015 3:36:40 PM,,,,,,123.4619
93.62984, 30/6/2015 3:36:41 PM,,,,,,123.8144
93.91823, 30/6/2015 3:36:42 PM,,,,,,123.8144
94.20661, 30/6/2015 3:36:43 PM,,,,,,123.9746
94.52705, 30/6/2015 3:36:44 PM,,,,,,123.9746
94.75134, 30/6/2015 3:36:45 PM,,,,,,123.9746
94.75134, 30/6/2015 3:36:46 PM,,,,,,123.9746
94.07844, 30/6/2015 3:36:47 PM,,,,,,123.6862
93.66188, 30/6/2015 3:36:48 PM,,,,,,123.6862
93.66188, 30/6/2015 3:36:49 PM,,,,,,123.6862
93.66188, 30/6/2015 3:36:50 PM,,,,,,124.1669
93.34145, 30/6/2015 3:36:51 PM,,,,,,124.1669
93.34145, 30/6/2015 3:36:52 PM,,,,,,124.1669
93.34145, 30/6/2015 3:36:53 PM,,,,,,124.1669
92.98898, 30/6/2015 3:36:54 PM,,,,,,124.1669
92.98898, 30/6/2015 3:36:55 PM,,,,,,124.1669
92.98898, 30/6/2015 3:36:56 PM,,,,,,124.1669
92.98898, 30/6/2015 3:36:57 PM,,,,,,124.1669
93.56575, 30/6/2015 3:36:58 PM,,,,,,124.2951
93.59779, 30/6/2015 3:36:59 PM,,,,,,124.4873
